uuid,benchmark,solver,preconditioner,size,suite,hostname,version,fipy_version
548cb73a-6877-4489-9192-24ce2b13bc5a,binary_phase_field,LinearGMRESSolver,ILUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
2044f608-15eb-45e7-9b02-39b890f0566e,binary_phase_field,LinearGMRESSolver,JacobiPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
2a432aae-911f-4b3a-836a-d47859c6eeca,binary_phase_field,LinearGMRESSolver,JacobiPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
6636a6cf-de56-444b-afb4-3d6e6ec90c53,binary_phase_field,LinearGMRESSolver,LUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
450ac8ac-7a60-4dca-b203-e4b86b891825,binary_phase_field,LinearGMRESSolver,LUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
5431cc1e-d60c-4d0b-9542-523e0233b70f,binary_phase_field,LinearGMRESSolver,SSORPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
05d08d09-e453-4b7d-8904-4e8353acfcb0,binary_phase_field,LinearGMRESSolver,SSORPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
e22dc855-6c78-4760-9669-7893cdd81471,binary_phase_field,LinearLUSolver,DefaultPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
7b78bb17-e808-4c49-98b3-a467d41f3e18,binary_phase_field,LinearLUSolver,DefaultPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
54cf0bb0-4c0b-4cfa-80eb-9f925d4d9d2f,binary_phase_field,LinearLUSolver,ICPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
8e57b203-c220-43fc-a368-c3137e4d46dd,binary_phase_field,LinearLUSolver,ICPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
540b5ea6-b195-4df7-9db0-6f84dec002ff,binary_phase_field,LinearLUSolver,ILUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
4a114bc0-37bf-43c0-a06c-76244d02f125,binary_phase_field,LinearLUSolver,ILUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
2c86b6ad-f086-407f-8094-daa3ce107386,binary_phase_field,LinearLUSolver,JacobiPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
3b41e51f-e42c-40fe-baad-dad870a306fa,binary_phase_field,LinearLUSolver,JacobiPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
56186e51-6258-4a52-b841-98fbcdb2127d,binary_phase_field,LinearLUSolver,LUPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
e746a543-d206-43ae-9681-960b712ad076,binary_phase_field,LinearLUSolver,LUPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
1da41de5-64f7-4b2e-b4d4-5b37340be1f4,binary_phase_field,LinearLUSolver,SSORPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
337ff349-95c9-47b6-8ade-90865a9cb822,binary_phase_field,LinearLUSolver,SSORPreconditioner,100,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
e32011d7-3b0a-459a-b81b-a47e340733cb,binary_phase_field,LinearPCGSolver,DefaultPreconditioner,9,petsc,PN129671,496b7f0-dirty,3.4.5-309-g8f323cd15
